127.0.0.1, 2017-04-01 17:56:11, GET, /joinup/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001356
127.0.0.1, 2017-04-01 17:56:11, GET, /joinup/static/js/share.js, HTTP/1.1, 304, 0.002622
127.0.0.1, 2017-04-01 17:56:11, GET, /joinup/static/images/gplus-32.png, HTTP/1.1, 304, 0.000705
127.0.0.1, 2017-04-01 17:56:11, GET, /joinup/static/images/facebook.png, HTTP/1.1, 304, 0.000759
127.0.0.1, 2017-04-01 17:56:11, GET, /joinup/static/images/twitter.png, HTTP/1.1, 304, 0.001265
127.0.0.1, 2017-04-01 17:57:32, GET, /joinup/default/profile/Aslesha, HTTP/1.1, 200, 0.023162
127.0.0.1, 2017-04-01 17:57:32, GET, /joinup/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000394
127.0.0.1, 2017-04-01 17:57:32, GET, /joinup/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000311
127.0.0.1, 2017-04-01 17:57:33, GET, /joinup/static/css/calendar.css, HTTP/1.1, 304, 0.000431
127.0.0.1, 2017-04-01 17:57:33, GET, /joinup/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001109
127.0.0.1, 2017-04-01 17:57:33, GET, /joinup/static/js/web2py.js, HTTP/1.1, 304, 0.000504
127.0.0.1, 2017-04-01 17:57:33, GET, /joinup/static/js/jquery.js, HTTP/1.1, 304, 0.002013
127.0.0.1, 2017-04-01 17:57:33, GET, /joinup/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001988
127.0.0.1, 2017-04-01 17:57:33, GET, /joinup/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001060
127.0.0.1, 2017-04-01 17:57:33, GET, /joinup/static/js/calendar.js, HTTP/1.1, 304, 0.001652
127.0.0.1, 2017-04-01 17:57:33, GET, /joinup/static/js/share.js, HTTP/1.1, 304, 0.000820
127.0.0.1, 2017-04-01 17:57:33, GET, /joinup/static/images/twitter.png, HTTP/1.1, 304, 0.001045
127.0.0.1, 2017-04-01 17:57:33, GET, /joinup/static/images/gplus-32.png, HTTP/1.1, 304, 0.001472
127.0.0.1, 2017-04-01 17:57:33, GET, /joinup/static/images/facebook.png, HTTP/1.1, 304, 0.001233
127.0.0.1, 2017-04-01 18:30:11, GET, /joinup/default/profile/Aslesha, HTTP/1.1, 200, 0.027405
127.0.0.1, 2017-04-01 18:30:11, GET, /joinup/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000501
127.0.0.1, 2017-04-01 18:30:11, GET, /joinup/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000995
127.0.0.1, 2017-04-01 18:30:11, GET, /joinup/static/js/calendar.js, HTTP/1.1, 304, 0.002653
127.0.0.1, 2017-04-01 18:30:11, GET, /joinup/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001190
127.0.0.1, 2017-04-01 18:30:11, GET, /joinup/static/css/calendar.css, HTTP/1.1, 304, 0.002259
127.0.0.1, 2017-04-01 18:30:11, GET, /joinup/static/js/web2py.js, HTTP/1.1, 304, 0.000739
127.0.0.1, 2017-04-01 18:30:11, GET, /joinup/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001748
127.0.0.1, 2017-04-01 18:30:11, GET, /joinup/static/js/jquery.js, HTTP/1.1, 304, 0.001200
127.0.0.1, 2017-04-01 18:30:11, GET, /joinup/static/js/share.js, HTTP/1.1, 304, 0.000515
127.0.0.1, 2017-04-01 18:30:11, GET, /joinup/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001438
127.0.0.1, 2017-04-01 18:30:11, GET, /joinup/static/images/twitter.png, HTTP/1.1, 304, 0.001040
127.0.0.1, 2017-04-01 18:30:11, GET, /joinup/static/images/gplus-32.png, HTTP/1.1, 304, 0.000939
127.0.0.1, 2017-04-01 18:30:11, GET, /joinup/static/images/facebook.png, HTTP/1.1, 304, 0.001044
